ÐòºÅ,Á÷¿Ø×´Ì¬,¸æ¾¯,º½°àºÅ,º½°à×´Ì¬,»úÐÍ,×¢²áºÅ,Ö´ÐÐÈÕÆÚ,Æð·ÉÅÜµÀ,½µÂäÅÜµÀ,³ö·¢µØ,Ä¿µÄµØ,Æð·É»ú³¡,½µÂä»ú³¡,¼Æ»®½µÂä»ú³¡,SOBT,EOBT,TOBT,CTOT,ATOT,ÑÓÎó»ù×¼,COBT,AEGT,AOBT,ËÉÉ²³µ,³ý±ùÊ±³¤,OTOBT,TTOT,SLDT,ELDT,CLDT,ALDT,CTOT²¹³ä,²ÈÉ²³µ,AIBT,ACGT,CPL_RMK,Ñ²º½¸ß¶È,Ñ²º½ËÙ¶È,º½  Â·,·ÅÐÐÑÓÎó»ù×¼,ÑÓÎóÊ±³¤,¼ÆËãÊ¹ÓÃµÄÆð·ÉÊ±¼ä,ÔÊÐíÆð·ÉÑÓÎóÊ±¼ä,×î½üµÄÁ÷¿Ø½áÊøÊ±¼ä,×î½üµÄÁ÷¿Ø¿ªÊ¼Ê±¼ä,¼Æ»®Î¨Ò»±êÊ¶,VIP±ê¼Ç,¹Ø×¢,Á÷¿Ø,ÌØÊâÁ÷¿Ø,»íÃâÁ÷¿ØºÅ,µÈ´ý³Ø/±£»¤³Ø±êÊ¶,²¹°à±ê¼Ç,Ëø¶¨×´Ì¬,Ëø¶¨ÀàÐÍ,¹«Ë¾ºË¶Ô,»ú³¡ºË¶Ô,º½°à¹ÒÆð±êÊ¶,µ÷Ê±±êÊ¶,º½°à»íÃâ±êÊ¶,ÈË¹¤»íÃâÕ¼Á¿,ÈË¹¤»íÃâ²»Õ¼Á¿,ÈË¹¤ÊÜÏÞ,·µº½/±¸½µ±êÊ¶,¸´·É±êÊ¶,¶þ´Î´úÂë,ETD,STOT,µ±Ç°×´Ì¬,ÈÝÁ¿»íÃâ,¼Æ»®ºÅ,µÈ´ý³Ø¹ØÁªÁ÷¿Ø,ÍÆ³ö»úÎ»,½ø¸Û»úÎ»,CTOT¸æ¾¯±êÖ¾,Ç°Ðò·µº½/±¸½µ±êÊ¶,·ÉÐÐÀàÐÍ,ÈË¹¤ÉèÖÃÒþ²Ø,ÊÇ·ñÐèÒª³ý±ù,CTOTÐÞ¸Ä±¸×¢,È¡Ïû±êÊ¶,É¾³ý±ê¼Ç,ÈÎÎñÀàÐÍ,CTOTÐÞ¸ÄÈ¨ÏÞµ¥Î»,ÐÞ¸ÄVIPÏ¯Î»¼¶±ð,Ê±Ï¶½»»»±êÊ¶,¹«Ë¾,
27,0,0,CSH9546,ARR,B738/M,B1335,20240115,25,2,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,³É¶¼/Ìì¸®,ZWWW,ZUTF,ZUTF,2024-1-15 7:55,2024-1-15 7:55,,,2024-1-15 8:10,2.02401E+13,,2.02401E+13,2024-1-15 7:38,2.02401E+13,0,2024-1-15 7:42,2024-1-15 7:58,2024-1-15 11:27,2024-1-15 11:25,,2024-1-15 11:45,0,2.02401E+13,,,,S1010,K0811,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 MEXAD,,-600,2024-1-15 8:10,25,,,53645092356347b1a2313571ab24b502,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2330,2024-1-15 8:11,2024-1-15 8:11,ARR,,80794,,7,,,0,S,0,1,,N,N,W/Z,,0,,CSH,
28,0,0,CUH2521,ARR,B738/M,B5407,20240115,25,1,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,³É¶¼/Ìì¸®,ZWWW,ZUTF,ZUTF,2024-1-15 8:00,2024-1-15 8:00,,,2024-1-15 8:25,2.02401E+13,,2.02401E+13,2024-1-15 7:55,2.02401E+13,0,2024-1-15 7:47,2024-1-15 8:02,2024-1-15 11:27,2024-1-15 11:45,,2024-1-15 12:08,0,,,2.02401E+13,,S1010,M078,WUR W190 ADPET W188 GOVSA W66 GOBIN B330 MEXAD,,0,2024-1-15 8:25,25,,,0ca9b7b7211f4aa2993d957773ffe903,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2322,2024-1-15 8:15,2024-1-15 8:15,ARR,,61354,,107,,,U,S,0,1,,N,N,W/Z,,0,,CUH,
29,0,0,CSN6861,ARR,B738/M,B7972,20240115,25,27,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,°¢¿ËËÕ/ºìÆìÆÂ,ZWWW,ZWAK,ZWAK,2024-1-15 8:00,2024-1-15 8:00,,,2024-1-15 8:13,2.02401E+13,,2.02401E+13,2024-1-15 7:49,2.02401E+13,0,2024-1-15 7:47,2024-1-15 8:05,2024-1-15 9:27,2024-1-15 9:08,,2024-1-15 9:21,0,,,,,S0840,K0775,WUR B215 KABDO W119 AKS,,-720,2024-1-15 8:13,25,,,0993926700eb44d4a1e902088ebb7fa5,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1004,2024-1-15 8:18,2024-1-15 8:18,ARR,,56133,,30,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
30,0,0,CSN6871,ARR,B738/M,B1736,20240115,25,26,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¿â³µ/¹ê×È,ZWWW,ZWKC,ZWKC,2024-1-15 8:00,2024-1-15 8:00,,,2024-1-15 8:03,2.02401E+13,,2.02401E+13,2024-1-15 7:41,2.02401E+13,0,2024-1-15 7:47,2024-1-15 8:04,2024-1-15 9:07,2024-1-15 8:56,,2024-1-15 9:02,0,,,,,S0840,K0760,WUR B215 KABDO W119 P267 H79 XKC,,-1320,2024-1-15 8:03,25,,,2a2ed08599b14204b6fecb29284c5bad,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1015,2024-1-15 8:17,2024-1-15 8:17,ARR,,68907,,44,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
31,0,0,CHH7829,OVE,B738/M,B1726,20240115,25,04R,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Îäºº/ÌìºÓ,ZWWW,ZHHH,ZHHH,2024-1-15 8:05,2024-1-15 8:05,,,2024-1-15 8:30,2.02401E+13,,,2024-1-15 8:06,2.02401E+13,0,2024-1-15 7:52,2024-1-15 8:07,2024-1-15 12:17,2024-1-15 12:15,,2024-1-15 12:27,0,,2024-1-15 12:37,2.02401E+13,,S1070,M078,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN W214 HO H14 P396 H131 UGSUT H132 P234 H36 OLPOV B213 WTM,,0,2024-1-15 8:30,25,,,0a15d23a5a5c440db698899425c67af6,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A7417,2024-1-15 8:20,2024-1-15 8:20,ARR,,75295,,141,301,,0,S,0,1,,N,N,W/Z,,0,,CHH,
32,0,0,GCR7561,ARR,A320/M,B1031,20240115,25,26,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¿¦Ê²/áâÄþ,ZWWW,ZWSH,ZWSH,2024-1-15 8:05,2024-1-15 8:05,,,2024-1-15 8:27,2.02401E+13,,,2024-1-15 8:02,2.02401E+13,0,2024-1-15 7:52,2024-1-15 8:07,2024-1-15 10:02,2024-1-15 9:44,,2024-1-15 10:07,0,2.02401E+13,,2.02401E+13,,S0920,M078,WUR B215 KABDO W119 AKS W176 KHG,,-180,2024-1-15 8:27,25,,,45d8828875f8432597a0f41106ba619b,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A0663,2024-1-15 8:20,2024-1-15 8:20,ARR,,62555,,100,,,U,S,0,1,,N,N,W/Z,,0,,GCR,
33,0,0,CSN6889,OVE,B38M/M,B1295,20240115,25,36R,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,³¤É³/»Æ»¨,ZWWW,ZGHA,ZGHA,2024-1-15 8:10,2024-1-15 8:10,,,2024-1-15 8:37,2.02401E+13,,,2024-1-15 8:02,,0,2024-1-15 7:57,2024-1-15 8:14,2024-1-15 12:22,2024-1-15 12:19,,2024-1-15 12:46,0,,2024-1-15 12:57,,,S0950,K0786,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN W214 HO H14 P396 H131 UGSUT/K0824S0920 H132 P234/K0816S0810 H36 YIH H9 CD W194 ASOGO W610 BEMTA,,120,2024-1-15 8:37,25,,,2962c14f60bd44acae744b7e53d813a8,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2326,2024-1-15 8:27,2024-1-15 8:27,ARR,,56103,,38,226,,0,S,0,1,,N,N,W/Z,,0,,CSN,
34,0,0,CSN6671,ARR,B738/M,B1365,20240115,25,22,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¿â¶ûÀÕ/Àæ³Ç,ZWWW,ZWKL,ZWKL,2024-1-15 8:10,2024-1-15 8:10,,,2024-1-15 8:31,2.02401E+13,,,2024-1-15 7:50,2.02401E+13,0,2024-1-15 7:57,2024-1-15 8:17,2024-1-15 9:02,2024-1-15 8:46,,2024-1-15 9:12,0,,,,,S0660,K0700,WUR B215 KABDO H64 KEL,,-240,2024-1-15 8:31,25,,,bad808f0421a4e8dbfa13ca8e8959f4f,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2525,2024-1-15 8:30,2024-1-15 8:30,ARR,,55987,,61,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
35,0,0,CSN5565,ARR,B738/M,B7971,20240115,25,5,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ËþÀïÄ¾,ZWWW,ZWAL,ZWAL,2024-1-15 8:10,2024-1-15 8:10,,,2024-1-15 8:34,2.02401E+13,,2.02401E+13,2024-1-15 7:55,2.02401E+13,0,2024-1-15 7:57,2024-1-15 8:15,2024-1-15 9:42,2024-1-15 9:34,,2024-1-15 9:51,0,,,,,S0840,K0775,WUR B215 KABDO W119 AKS/K0771S0810 W186 PAMLI,,-60,2024-1-15 8:34,25,,,7048dbfeadc94148be74f35095ba104a,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2524,2024-1-15 8:28,2024-1-15 8:28,ARR,,77078,,31,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
36,0,0,CSN6007,ARR,B738/M,B1363,20240115,25,,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ISLAMABAD,ZWWW,OPIS,OPIS,2024-1-15 8:10,2024-1-15 8:10,,,2024-1-15 8:46,2.02401E+13,,2.02401E+13,2024-1-15 8:13,2.02401E+13,0,2024-1-15 7:57,2024-1-15 8:13,2024-1-15 10:55,2024-1-15 10:45,,2024-1-15 11:27,0,,,,,S1100,K0822,WUR B215 KABDO W119 LESVI B215 PURPA/N0452F360 G325 GOTKO J131 BOBAM,,660,2024-1-15 8:46,25,,,e8050329770a45b9be3af8ed04bfe0e3,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2323,2024-1-15 8:26,2024-1-15 8:26,ARR,,68990,,18,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
37,0,0,CSN6803,ARR,B738/M,B1362,20240115,25,26,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¿¦Ê²/áâÄþ,ZWWW,ZWSH,ZWSH,2024-1-15 8:15,2024-1-15 8:15,,,2024-1-15 8:38,2.02401E+13,,2.02401E+13,2024-1-15 8:05,2.02401E+13,0,2024-1-15 8:02,2024-1-15 8:17,2024-1-15 10:17,2024-1-15 9:52,,2024-1-15 10:19,0,,,,,S0920,K0775,WUR B215 KABDO W119 AKS W176 KHG,,-120,2024-1-15 8:38,25,,,2e204212c3c749e998570bf94569f7ac,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A0665,2024-1-15 8:30,2024-1-15 8:30,ARR,,56198,,55,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
38,0,0,CSN6993,ARR,B738/M,B1285,20240115,25,01L,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¹óÑô/Áú¶´±¤,ZWWW,ZUGY,ZUGY,2024-1-15 8:15,2024-1-15 8:15,,,2024-1-15 8:40,2.02401E+13,,2.02401E+13,2024-1-15 8:07,2.02401E+13,0,2024-1-15 8:02,2024-1-15 8:20,2024-1-15 12:22,2024-1-15 12:06,,2024-1-15 12:36,0,,,,,S0950,K0782,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 IDBOR/K0741S0690 B330 QNX,,0,2024-1-15 8:40,25,,,3a05f37a20824abe969c0b29787007e6,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2313,2024-1-15 8:33,2024-1-15 8:33,ARR,,55747,,34,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
39,0,0,CSN6939,OVE,B38M/M,B205P,20240115,25,04R,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Îäºº/ÌìºÓ,ZWWW,ZHHH,ZHHH,2024-1-15 8:30,2024-1-15 8:30,,,2024-1-15 8:43,2.02401E+13,,2.02401E+13,2024-1-15 8:18,2.02401E+13,0,2024-1-15 8:17,2024-1-15 8:34,2024-1-15 12:32,2024-1-15 12:28,,2024-1-15 12:40,0,,2024-1-15 12:44,,,S0950,K0786,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN W214 HO H14 P396 H131 UGSUT/K0822S0920 H132 P234/K0768S0690 H36 OLPOV B213 WTM,,-720,2024-1-15 8:43,25,,,67840e584b1b49b5991ea3127ba6bd0f,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A7430,2024-1-15 8:47,2024-1-15 8:47,ARR,,55694,,46,343,,0,S,0,1,,N,N,W/Z,,0,,CSN,
40,0,0,CES2784,OVE,A320/M,B6872,20240115,25,31,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Ì«Ô­/ÎäËÞ,ZWWW,ZBYN,ZBYN,2024-1-15 8:30,2024-1-15 8:30,,,2024-1-15 8:49,2.02401E+13,,2.02401E+13,2024-1-15 8:17,2.02401E+13,0,2024-1-15 8:17,2024-1-15 8:33,2024-1-15 11:45,2024-1-15 11:37,,2024-1-15 12:07,0,2.02401E+13,,,,S0950,K0826,WUR W190 ADPET W188 GOVSA W66 GOBIN B330 YBL W199 YHD B215 GODON W87 TYN,,-360,2024-1-15 8:49,25,,,129bf054978d4953bd24f1a8fe412af1,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2317,2024-1-15 8:46,2024-1-15 8:46,ARR,,42734,,15,204,,0,S,0,1,,N,N,W/Z,,0,,CES,
41,0,0,CSN8601,ARR,,B329Y,20240115,25,15,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ºìÆäÀ­¸¦,ZWWW,ZWTK,ZWTK,2024-1-15 8:30,2024-1-15 8:30,,,2024-1-15 9:01,2.02401E+13,,2.02401E+13,2024-1-15 8:38,2.02401E+13,0,2024-1-15 8:17,2024-1-15 8:32,2024-1-15 10:57,2024-1-15 10:26,,2024-1-15 11:01,0,2.02401E+13,,,,S0980,K0825,KABDO W119 LESVI B215 DSC,,360,2024-1-15 9:01,25,,,149aa19a5e0547689f4543629cb06f6e,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1011,2024-1-15 8:45,2024-1-15 8:45,ARR,,56476,,142,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
42,0,0,CHH7835,OVE,B738/M,B1101,20240115,25,26,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ºôºÍºÆÌØ/°×Ëþ,ZWWW,ZBHH,ZBHH,2024-1-15 8:40,2024-1-15 8:40,,,2024-1-15 8:45,2.02401E+13,,2.02401E+13,2024-1-15 8:35,2.02401E+13,0,2024-1-15 8:27,2024-1-15 8:42,2024-1-15 11:55,2024-1-15 11:36,,2024-1-15 11:50,0,,,2.02401E+13,,S1070,M078,WUR W190 ADPET W188 GOVSA W66 DKO W64 VALNI,,-1200,2024-1-15 8:45,25,,,44599ac6384c4971992bd99f28e15f84,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2314,2024-1-15 8:55,2024-1-15 8:55,ARR,,75300,,146,14,,0,S,0,2,,N,N,W/Z,,0,,CHH,
43,0,0,CHH7867,OVE,B738/M,B5428,20240115,25,05L,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Î÷°²/ÏÌÑô,ZWWW,ZLXY,ZLXY,2024-1-15 8:40,2024-1-15 8:40,,2024-1-15 9:56,2024-1-15 9:53,2.02401E+13,2024-1-15 9:43,2.02401E+13,2024-1-15 8:22,2.02401E+13,0,2024-1-15 8:27,2024-1-15 9:56,2024-1-15 11:50,2024-1-15 11:50,2024-1-15 13:07,2024-1-15 13:10,0,,,,,S1070,M078,WUR W190 ADPET W188 GOVSA W66 GOBIN B330 XIXAN W214 HO,,2880,2024-1-15 9:53,25,,,f22cba04c56b41cabcc4721fd004abe1,,,,0,,,0,1,,5,5,0,0,0,,,,U,N,A2302,2024-1-15 8:53,2024-1-15 8:53,ARR,,47303,,166,102,,0,S,0,1,,N,N,W/Z,,0,,CHH,
44,0,0,GCR7485,ARR,E190/M,B3235,20240115,25,30,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¸»ÔÌ/¿É¿ÉÍÐº£,ZWWW,ZWFY,ZWFY,2024-1-15 8:40,2024-1-15 8:40,,,2024-1-15 8:59,2.02401E+13,,,2024-1-15 8:38,2.02401E+13,0,2024-1-15 8:27,2024-1-15 8:42,2024-1-15 9:52,2024-1-15 9:28,,2024-1-15 9:51,0,,,,,S0750,M075,WUR W190 ADPET/M075S0720 J364 XFY,,-360,2024-1-15 8:59,25,,,c451817b44c0494b8a8d17514629ab77,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1023,2024-1-15 8:55,2024-1-15 8:55,ARR,,62638,,149,,,0,S,0,1,,N,N,W/Z,,0,,GCR,
45,0,0,CSN6240,ARR,A20N/M,B309Y,20240115,25,6,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ÉòÑô/ÌÒÏÉ,ZWWW,ZYTX,ZYTX,2024-1-15 8:40,2024-1-15 8:40,,,2024-1-15 8:57,2.02401E+13,,,2024-1-15 8:28,2.02401E+13,0,2024-1-15 8:27,2024-1-15 8:45,2024-1-15 13:02,2024-1-15 12:34,,2024-1-15 12:55,0,2.02401E+13,2024-1-15 13:03,2.02401E+13,,S0950,K0833,WUR W190 ADPET W188 GOVSA W66 DKO W69 P304 H13 TMR W86 KAKAT W31 CHG A575 OMDUS,,-480,2024-1-15 8:57,25,,,1bbcf639288c45e1bbe0f516e237a2f4,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2336,2024-1-15 8:58,2024-1-15 8:58,ARR,,54803,,45,111,,0,S,0,1,,N,N,W/Z,,0,,CSN,
46,0,0,CSN5431,ARR,B737/M,B5240,20240115,25,28,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,²©ÀÖ/°¢À­É½¿Ú,ZWWW,ZWBL,ZWBL,2024-1-15 8:40,2024-1-15 8:40,,,2024-1-15 8:54,2.02401E+13,,2.02401E+13,2024-1-15 8:30,2.02401E+13,0,2024-1-15 8:27,2024-1-15 8:43,2024-1-15 9:52,2024-1-15 9:31,,2024-1-15 9:45,0,,,,,S0780,K0665,WUR B215 KABDO H70 P165 J87 BOL,,-660,2024-1-15 8:54,25,,,ec407367b35a4a26b3d092a67eeae6f6,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A0656,2024-1-15 8:56,2024-1-15 8:56,ARR,,77306,,42,,,U,S,0,1,,N,N,W/Z,,0,,CSN,
47,0,0,CSN6014,OVE,B38M/M,B1202,20240115,25,19,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¹ãÖÝ/°×ÔÆ,ZWWW,ZGGG,ZGGG,2024-1-15 8:45,2024-1-15 8:45,,,2024-1-15 8:53,2.02401E+13,,2.02401E+13,2024-1-15 8:32,2.02401E+13,0,2024-1-15 8:30,2024-1-15 8:46,2024-1-15 13:45,2024-1-15 13:43,,2024-1-15 14:05,0,,,,,S0950,K0798,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 IGIVI/K0777S0810 A599 BIPOP/K0739S0690 A599 P93/K0713S0570 A599 GYA,2.02401E+13,-1020,2024-1-15 8:53,25,,,b98e2840b2ec42d3acf864c42eb48f50,,,,0,,,0,1,0,5,5,0,0,0,,,,U,N,A2331,2024-1-15 9:01,2024-1-15 9:01,ARR,,32060,,23,254,,U,S,0,2,,N,N,W/Z,,0,,CSN,
48,0,0,GCR7549,ARR,E190/M,B3119,20240115,25,29,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ºÍÌï/À¥¸Ô,ZWWW,ZWTN,ZWTN,2024-1-15 8:50,2024-1-15 8:50,,,2024-1-15 9:15,2.02401E+13,,,2024-1-15 8:48,2.02401E+13,0,2024-1-15 8:37,2024-1-15 8:52,2024-1-15 10:42,2024-1-15 10:31,,2024-1-15 11:19,0,2.02401E+13,,,,S0920,M075,WUR B215 KABDO W119 LESVI H67 HTN,,0,2024-1-15 9:15,25,,,e6204198fbed464ebdbdcf858c95d020,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1025,2024-1-15 9:05,2024-1-15 9:05,ARR,,62696,,151,,,0,S,0,1,,N,N,W/Z,,0,,GCR,
49,0,0,CSN6911,OVE,B38M/M,B1203,20240115,25,35L,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,±±¾©/´óÐË,ZWWW,ZBAD,ZBAD,2024-1-15 9:00,2024-1-15 9:00,,,2024-1-15 9:20,2.02401E+13,,,2024-1-15 8:57,2.02401E+13,0,2024-1-15 8:47,2024-1-15 9:04,2024-1-15 12:30,2024-1-15 12:19,,2024-1-15 12:45,0,,,,,S0950,K0805,WUR W190 ADPET W188 GOVSA W66 DKO W64 PUKOL/K0716S0690 W64 ELAPU,,-300,2024-1-15 9:20,25,,,f99a951d781249609e6666971bf525d5,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A7426,2024-1-15 9:17,2024-1-15 9:17,ARR,,56140,,40,155,,0,S,0,1,,N,N,W/Z,,0,,CSN,
50,0,0,CHH7859,OVE,B738/M,B1996,20240115,25,12R,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,Ö£ÖÝ/ÐÂÖ£,ZWWW,ZHCC,ZHCC,2024-1-15 9:00,2024-1-15 9:00,,,2024-1-15 9:03,2.02401E+13,,2.02401E+13,2024-1-15 8:43,2.02401E+13,0,2024-1-15 8:47,2024-1-15 9:03,2024-1-15 12:57,2024-1-15 12:51,,2024-1-15 12:45,0,,2024-1-15 12:52,2.02401E+13,,S1070,M078,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN W214 HO H14 P396 H131 UGSUT H11 SHX W4 LIMGI H103 P52,,-1320,2024-1-15 9:03,25,,,ef9c66d02e9d48fd8287e175cd4b613c,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2337,2024-1-15 9:16,2024-1-15 9:16,ARR,,75482,,6,254,,0,S,0,1,,N,N,W/Z,,0,,CHH,
51,0,0,CUH2513,ARR,B738/M,B1322,20240115,25,32,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ÃàÑô/ÄÏ½¼,ZWWW,ZUMY,ZUMY,2024-1-15 9:00,2024-1-15 9:00,,,2024-1-15 9:25,2.02401E+13,,,2024-1-15 9:09,2.02401E+13,0,2024-1-15 8:47,2024-1-15 9:00,2024-1-15 12:12,2024-1-15 12:14,,2024-1-15 12:39,0,,,2.02401E+13,,S1070,M078,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 MEXAD,,0,2024-1-15 9:25,25,,,b525d7b06ff949db8564bab483715c0c,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2301,2024-1-15 9:13,2024-1-15 9:13,ARR,,78187,,163,,,0,S,0,1,,N,N,W/Z,,0,,CUH,
52,0,0,CSN6941,ARR,B738/M,B1782,20240115,25,1,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,³É¶¼/Ìì¸®,ZWWW,ZUTF,ZUTF,2024-1-15 9:00,2024-1-15 9:00,,,2024-1-15 9:08,2.02401E+13,,2.02401E+13,2024-1-15 8:42,2.02401E+13,0,2024-1-15 8:47,2024-1-15 9:05,2024-1-15 12:32,2024-1-15 12:38,,2024-1-15 12:38,0,,,,,S0950,K0775,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN/K0739S0750 B330 AKVEP/K0743S0690 B330 PIMEL/K0725S0630 B330 MEXAD,,-1020,2024-1-15 9:08,25,,,a120c52f5d894e1e92518756bf4b6f5e,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2304,2024-1-15 9:18,2024-1-15 9:18,ARR,,55847,,47,,,0,S,0,1,,N,N,W/Z,,0,,CSN,
53,0,0,CHH7821,ARR,B738/M,B5637,20240115,25,26,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,¿â³µ/¹ê×È,ZWWW,ZWKC,ZWKC,2024-1-15 9:00,2024-1-15 9:00,,,2024-1-15 9:09,2.02401E+13,,,2024-1-15 8:57,2.02401E+13,0,2024-1-15 8:47,2024-1-15 9:02,2024-1-15 10:17,2024-1-15 9:58,,2024-1-15 10:10,0,,,2.02401E+13,,S0920,M078,WUR B215 KABDO W119 P267 H79 XKC,,-960,2024-1-15 9:09,25,,,87317ee9f21c4f91931de891363fde33,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A1012,2024-1-15 9:15,2024-1-15 9:15,ARR,,47311,,147,,,0,S,0,1,,N,N,W/Z,,0,,CHH,
54,0,0,CSN6955,OVE,B38M/M,B205N,20240115,25,36R,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,³¤É³/»Æ»¨,ZWWW,ZGHA,ZGHA,2024-1-15 9:05,2024-1-15 9:05,,,2024-1-15 9:14,2.02401E+13,,2.02401E+13,2024-1-15 8:48,2.02401E+13,0,2024-1-15 8:52,2024-1-15 9:11,2024-1-15 13:17,2024-1-15 13:15,,2024-1-15 13:34,0,,2024-1-15 13:42,,,S0950,K0787,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN W214 HO H14 P396 H131 UGSUT/K0821S0920 H132 P234/K0815S0810 H36 YIH H9 CD W194 ASOGO W610 BEMTA,,-960,2024-1-15 9:14,25,,,a05b87bacad04dae811dbd8a9d74317e,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2307,2024-1-15 9:24,2024-1-15 9:24,ARR,,55701,,32,222,,0,S,0,1,,N,N,W/Z,,0,,CSN,
55,0,0,CSH9222,OVE,B738/M,B1265,20240115,25,36R,ÎÚÂ³Ä¾Æë/µØÎÑ±¤,ÉÏº£/ºçÇÅ,ZWWW,ZSSS,ZSSS,2024-1-15 9:05,2024-1-15 9:05,,,2024-1-15 9:28,2.02401E+13,,2.02401E+13,2024-1-15 8:56,2.02401E+13,0,2024-1-15 8:52,2024-1-15 9:08,2024-1-15 13:30,2024-1-15 13:48,,2024-1-15 14:01,0,2.02401E+13,,,,S1070,K0796,WUR W190 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN W214 JIG/K0742S0890 W214 HO H14 P396/K0781S0890 H131 P17/K0740S0890 H131 P62 H11 ML W118 REVKU H48 FYG B208 HFE/K0698S0890 R343 SASAN,,-120,2024-1-15 9:28,25,,,77a2b46b6b264c3189c44d0587ef88ce,,,,0,,,0,0,,5,5,0,0,0,,,,U,N,A2310,2024-1-15 9:21,2024-1-15 9:21,ARR,,51649,,9,270,,0,S,0,1,,N,N,W/Z,,0,,CSH,
